lat,lon,address,addressline,city,country,zip,reported_by,reported_date,country_code,pothole_id
40.37807,-3.75471,'Calle de Jacobinia| 22-90| 28047 Madrid| Spain','Calle De Jacobinia| 22 90','madrid','España','28047',web,2010-03-22 20:20:37 UTC,'ES',86
40.38617,-3.78165,'Paseo de Extremadura| 390| 28024 Madrid| Spain','Paseo De Extremadura| 390','madrid','España','28024',web,2010-03-22 20:21:48 UTC,'ES',87
40.42269,-3.69932,'Calle de Hortaleza| 60| 28004 Madrid| Spain','Calle De Hortaleza| 60','madrid','España','28004',web,2010-03-22 20:59:34 UTC,'ES',88
40.41362,-3.71367,'Calle de Bailén| 23-27| 28005 Madrid| Spain','Calle De Bailén| 23 27','madrid','España','28005',web,2010-03-22 21:00:25 UTC,'ES',89
40.41362,-3.71367,'Calle de Bailén| 23-27| 28005 Madrid| Spain','Calle De Bailén| 23 27','madrid','España','28005',web,2010-03-22 21:02:33 UTC,'ES',90
40.30427,-3.90495,'Carretera de Madrid a Badajoz| 28935 Móstoles| Spain','Carretera De Madrid A Badajoz','móstoles','España','28935',web,2010-03-22 21:03:44 UTC,'ES',91
40.31141,-3.8904,'Av de Portugal| 28935 Móstoles| Spain','Av De Portugal','móstoles','España','28935',web,2010-03-22 21:04:37 UTC,'ES',92
40.42326,-3.71086,'Plaza de España| 8| 28013 Madrid| Spain','Plaza De España| 8','madrid','España','28013',web,2010-03-22 21:11:46 UTC,'ES',93
40.42269,-3.69932,'Calle de Hortaleza| 60| 28004 Madrid| Spain','Calle De Hortaleza| 60','madrid','España','28004',web,2010-03-22 21:12:45 UTC,'ES',94
40.37675,-3.75093,'Calle de Jacobinia| 22| 28047 Madrid| Spain','Calle De Jacobinia| 22','madrid','España','28047',web,2010-03-22 21:13:58 UTC,'ES',95
40.34062,-3.86488,'Glorieta de los Jazmines| 28933 Móstoles| Spain','Glorieta De Los Jazmines','móstoles','España','28933',web,2010-03-22 21:15:05 UTC,'ES',96
40.37756,-3.79277,'Paseo de Extremadura| 28024 Madrid| Spain','Paseo De Extremadura','madrid','España','28024',web,2010-03-22 21:16:54 UTC,'ES',97
40.38389,-3.78445,'Paseo de Extremadura| 543| 28024 Madrid| Spain','Paseo De Extremadura| 543','madrid','España','28024',web,2010-03-22 21:19:22 UTC,'ES',98
40.4143,-3.7074,'Calle Imperial| 18| 28012 Madrid| Spain','Calle Imperial| 18','madrid','España','28012',web,2010-03-22 21:32:38 UTC,'ES',99
40.4143,-3.7074,'Calle Imperial| 18| 28012 Madrid| Spain','Calle Imperial| 18','madrid','España','28012',web,2010-03-22 22:28:37 UTC,'ES',100
40.38389,-3.78445,'Paseo de Extremadura| 543| 28024 Madrid| Spain','Paseo De Extremadura| 543','madrid','España','28024',web,2010-03-23 00:49:31 UTC,'ES',101
40.34062,-3.86488,'Glorieta de los Jazmines| 28933 Móstoles| Spain','Glorieta De Los Jazmines','móstoles','España','28933',web,2010-03-23 00:54:17 UTC,'ES',102
40.4143,-3.7074,'Calle Imperial| 18| 28012 Madrid| Spain','Calle Imperial| 18','madrid','España','28012',web,2010-03-23 00:54:17 UTC,'ES',103
40.41362,-3.71367,'Calle de Bailén| 23-27| 28005 Madrid| Spain','Calle De Bailén| 23 27','madrid','España','28005',web,2010-03-23 00:54:18 UTC,'ES',104
40.42326,-3.71086,'Plaza de España| 8| 28013 Madrid| Spain','Plaza De España| 8','madrid','España','28013',web,2010-03-23 00:54:19 UTC,'ES',105
40.38617,-3.78165,'Paseo de Extremadura| 390| 28024 Madrid| Spain','Paseo De Extremadura| 390','madrid','España','28024',web,2010-03-23 00:54:20 UTC,'ES',106
40.31141,-3.8904,'Av de Portugal| 28935 Móstoles| Spain','Av De Portugal','móstoles','España','28935',web,2010-03-23 00:54:20 UTC,'ES',107
40.37675,-3.75093,'Calle de Jacobinia| 22| 28047 Madrid| Spain','Calle De Jacobinia| 22','madrid','España','28047',web,2010-03-23 00:54:21 UTC,'ES',108
40.30427,-3.90495,'Carretera de Madrid a Badajoz| 28935 Móstoles| Spain','Carretera De Madrid A Badajoz','móstoles','España','28935',web,2010-03-23 00:54:23 UTC,'ES',109
40.37756,-3.79277,'Paseo de Extremadura| 28024 Madrid| Spain','Paseo De Extremadura','madrid','España','28024',web,2010-03-23 00:54:23 UTC,'ES',110
40.37807,-3.75471,'Calle de Jacobinia| 22-90| 28047 Madrid| Spain','Calle De Jacobinia| 22 90','madrid','España','28047',web,2010-03-23 00:54:24 UTC,'ES',111
40.42269,-3.69932,'Calle de Hortaleza| 60| 28004 Madrid| Spain','Calle De Hortaleza| 60','madrid','España','28004',web,2010-03-23 00:54:25 UTC,'ES',112
40.4143,-3.7074,'Calle Imperial| 18| 28012 Madrid| Spain','Calle Imperial| 18','madrid','España','28012',web,2010-03-23 09:02:47 UTC,'ES',113
40.4143,-3.7074,'Calle Imperial| 18| 28012 Madrid| Spain','Calle Imperial| 18','madrid','España','28012',web,2010-03-23 09:02:56 UTC,'ES',114
41.38862,2.16954,'Passeig de Gràcia| 6| 08007 Barcelona| Spain','Passeig De Gràcia| 6','barcelona','España','08007',web,2010-03-23 09:14:31 UTC,'ES',115
40.54754,-3.62675,'Calle de San Roque| 2-8| 28701 San Sebastián de los Reyes| Spain','Calle De San Roque| 2 8','san sebastián de los reyes','España','28701',web,2010-03-23 09:21:00 UTC,'ES',116
40.54767,-3.62647,'Calle de San Roque| 8| 28701 San Sebastián de los Reyes| Spain','Calle De San Roque| 8','san sebastián de los reyes','España','28701',web,2010-03-23 09:31:15 UTC,'ES',117
40.54743,-3.62693,'Calle de San Roque| 2-8| 28701 San Sebastián de los Reyes| Spain','Calle De San Roque| 2 8','san sebastián de los reyes','España','28701',web,2010-03-23 09:31:56 UTC,'ES',118
40.43811,-3.70017,'Calle de Santa Engracia| 115| 28010 Madrid| Spain','Calle De Santa Engracia| 115','madrid','España','28010',web,2010-03-23 10:46:46 UTC,'ES',119
40.46079,-3.77554,'Av de la Osa Mayor| 7| 28023 Madrid| Spain','Av De La Osa Mayor| 7','madrid','España','28023',web,2010-03-23 11:36:11 UTC,'ES',120
40.42211,-3.71304,'Cuesta de San Vicente| 8| 28008 Madrid| Spain','Cuesta De San Vicente| 8','madrid','España','28008',web,2010-03-23 11:38:14 UTC,'ES',121
40.42297,-3.71171,'Plaza de España| 8| 28013 Madrid| Spain','Plaza De España| 8','madrid','España','28013',web,2010-03-23 11:38:38 UTC,'ES',122
40.41936,-3.72065,'Av de Portugal| 28008 Madrid| Spain','Av De Portugal','madrid','España','28008',web,2010-03-23 11:39:16 UTC,'ES',123
40.41936,-3.72065,'Av de Portugal| 28008 Madrid| Spain','Av De Portugal','madrid','España','28008',web,2010-03-23 11:41:17 UTC,'ES',124
40.42297,-3.71171,'Plaza de España| 8| 28013 Madrid| Spain','Plaza De España| 8','madrid','España','28013',web,2010-03-23 11:41:28 UTC,'ES',125
40.42297,-3.71171,'Plaza de España| 8| 28013 Madrid| Spain','Plaza De España| 8','madrid','España','28013',web,2010-03-23 11:43:41 UTC,'ES',126
41.65295,-4.72839,'Calle de la Cebadería| 1-5| 47001 Valladolid| Spain','Calle De La Cebadería| 1 5','valladolid','España','47001',web,2010-03-23 11:54:25 UTC,'ES',127
40.41362,-3.71367,'Calle de Bailén| 23-27| 28005 Madrid| Spain','Calle De Bailén| 23 27','madrid','España','28005',web,2010-03-23 11:55:22 UTC,'ES',128
40.38389,-3.78445,'Paseo de Extremadura| 543| 28024 Madrid| Spain','Paseo De Extremadura| 543','madrid','España','28024',web,2010-03-23 12:03:02 UTC,'ES',129
40.37349,-3.72505,'Av de los Poblados| 141| 28025 Madrid| Spain','Av De Los Poblados| 141','madrid','España','28025',web,2010-03-23 12:07:32 UTC,'ES',130
41.65295,-4.72839,'Calle de la Cebadería| 1-5| 47001 Valladolid| Spain','Calle De La Cebadería| 1 5','valladolid','España','47001',web,2010-03-23 12:10:31 UTC,'ES',131
41.65295,-4.72839,'Calle de la Cebadería| 1-5| 47001 Valladolid| Spain','Calle De La Cebadería| 1 5','valladolid','España','47001',web,2010-03-23 12:24:13 UTC,'ES',132
41.6614,-4.76665,'Ruta de la Camino de Santiago| 35-37| 47610 Zaratán| Spain','Ruta De La Camino De Santiago| 35 37','zaratán','España','47610',web,2010-03-23 12:24:40 UTC,'ES',133
40.37346,-3.73299,'Av de los Poblados| 110| 28025 Madrid| Spain','Av De Los Poblados| 110','madrid','España','28025',web,2010-03-23 12:43:43 UTC,'ES',134
40.37346,-3.73299,'Av de los Poblados| 110| 28025 Madrid| Spain','Av De Los Poblados| 110','madrid','España','28025',web,2010-03-23 12:45:59 UTC,'ES',135
40.42326,-3.71086,'Plaza de España| 8| 28013 Madrid| Spain','Plaza De España| 8','madrid','España','28013',web,2010-03-23 12:47:39 UTC,'ES',136
40.47692,-3.75563,'Autopista M-40| 28023 Madrid| Spain','Autopista M 40','madrid','España','28023',web,2010-03-23 12:49:23 UTC,'ES',137
40.47692,-3.75563,'Autopista M-40| 28023 Madrid| Spain','Autopista M 40','madrid','España','28023',web,2010-03-23 13:27:09 UTC,'ES',138
40.40308,-3.69457,'Calle de Palos de la Frontera| 27| 28045 Madrid| Spain','Calle De Palos De La Frontera| 27','madrid','España','28045',web,2010-03-23 13:30:52 UTC,'ES',139
40.70762,-3.99601,'Calle de los Olivos| 6| 28490 Becerril de la Sierra| Spain','Calle De Los Olivos| 6','becerril de la sierra','España','28490',web,2010-03-23 13:32:12 UTC,'ES',140
40.41748,-3.69849,'Calle de Cedaceros| 6| 28014 Madrid| Spain','Calle De Cedaceros| 6','madrid','España','28014',web,2010-03-23 13:42:38 UTC,'ES',141
